,origin,destination,minutes
3282187,36047033600,36047017400,65.52
3282188,36047033600,36047015400,74.6
3282189,36047033600,36047005602,97.62
3282190,36047033600,36047016400,83.6
3282203,36047033600,36047029200,52.35
3282204,36047033600,36047028600,53.23
3282205,36047033600,36047028200,56.18
3282206,36047033600,36047028000,59.08
3282231,36047033600,36047033600,0.0
3282236,36047033600,36085012805,355.88
3282237,36047033600,36047046202,88.7
3282239,36047033600,36047045800,93.58
3282241,36047033600,36047046201,94.42
3282245,36047033600,36047048400,103.26
3282246,36047033600,36047046000,101.33
3282247,36047033600,36047048200,102.21
3282249,36047033600,36047049000,107.77
3282258,36047033600,36047049400,113.96
3282262,36047033600,36047017700,140.97
3282278,36047033600,36047043800,72.9
3282280,36047033600,36047044000,77.43
3282282,36047033600,36047044400,81.26
3282283,36047033600,36047044800,83.75
3282284,36047033600,36047045000,85.65
3282285,36047033600,36047045200,88.41
3282286,36047033600,36047036001,44.72
3282287,36047033600,36047036200,45.16
3282288,36047033600,36047035602,37.74
3282289,36047033600,36047035400,38.68
3282290,36047033600,36047035601,37.17
3282291,36047033600,36047036600,44.12
3282293,36047033600,36047034000,15.04
3282294,36047033600,36047035200,20.14
3282299,36047033600,36047033000,7.25
3282300,36047033600,36047034800,23.32
3282305,36047033600,36047036400,43.31
3282307,36047033600,36047037401,46.36
3282308,36047033600,36047037000,49.69
3282316,36047033600,36047039000,53.69
3282318,36047033600,36047039200,59.33
3282319,36047033600,36047039400,62.33
3282324,36047033600,36047041402,65.72
3282325,36047033600,36047041600,68.06
3282327,36047033600,36047041800,71.52
3282331,36047033600,36047042200,68.92
3282334,36047033600,36047042000,76.16
3282337,36047033600,36047044200,79.56
3282355,36047033600,36047061002,55.85
3282356,36047033600,36047036002,49.97
3282372,36047033600,36047061600,69.67
3282391,36047033600,36047066600,109.75
3282397,36047033600,36047070201,126.97
3282437,36047034000,36085012804,342.27
3282439,36047034000,36085011201,314.84
3282441,36047034000,36085012806,344.23
3282445,36047034000,36085007400,286.34
3282451,36047034000,36085001800,280.77
3282457,36047034000,36047005601,98.0
3282459,36047034000,36047005400,101.11
3282460,36047034000,36047005202,105.14
3282461,36047034000,36047005201,105.99
3282463,36047034000,36047005000,109.04
3282464,36047034000,36047004600,109.8
3282465,36047034000,36047004400,116.04
3282480,36047034000,36047013200,100.83
3282485,36047034000,36047012801,103.43
3282490,36047034000,36047012600,112.29
3282512,36047034000,36047007000,120.19
3282521,36047034000,36047002200,125.9
3282535,36047034000,36047003800,121.66
3282537,36047034000,36047003400,125.09
3282545,36047034000,36047017600,59.56
3282546,36047034000,36047016800,68.58
3282547,36047034000,36047017400,63.33
3282548,36047034000,36047015400,72.41
