,origin,destination,minutes
1662610,17031720400,17031710800,86.66
1662612,17031720400,17031691200,101.09
1662618,17031720400,17031540101,138.71
1662619,17031720400,17031530502,104.49
1662622,17031720400,17031530400,91.63
1662623,17031720400,17031530501,96.39
1662624,17031720400,17031750400,37.44
1662625,17031720400,17031530300,67.56
1662626,17031720400,17031540102,135.85
1662627,17031720400,17031530100,99.37
1662628,17031720400,17031750500,47.12
1662629,17031720400,17031530200,85.39
1662630,17031720400,17031750600,60.35
1662633,17031720400,17031838800,138.28
1662634,17031720400,17031491400,95.12
1662635,17031720400,17031500300,103.28
1662637,17031720400,17031750200,34.87
1662638,17031720400,17031750100,55.34
1662639,17031720400,17031491100,62.93
1662641,17031720400,17031720700,32.11
1662642,17031720400,17031491000,73.29
1662643,17031720400,17031730700,49.94
1662645,17031720400,17031500200,95.25
1662648,17031720400,17031490700,69.2
1662649,17031720400,17031730500,56.0
1662650,17031720400,17031490600,68.49
1662651,17031720400,17031500100,103.25
1662652,17031720400,17031490500,89.36
1662653,17031720400,17031510300,136.6
1662654,17031720400,17031730100,66.36
1662655,17031720400,17031490400,92.39
1662656,17031720400,17031440900,101.99
1662657,17031720400,17031470100,112.72
1662661,17031720400,17031440800,108.82
1662664,17031720400,17031440202,113.26
1662666,17031720400,17031440300,103.3
1662668,17031720400,17031834300,131.74
1662683,17031720400,17031530503,98.91
1662684,17031720400,17031740400,53.08
1662685,17031720400,17031740300,43.6
1662689,17031720400,17031691500,131.04
1662691,17031720400,17031691000,121.23
1667200,17031170600,17031170600,0.0
1667203,17031170600,17031170700,8.94
1667208,17031170600,17031100500,57.61
1667210,17031170600,17031760801,59.76
1667224,17031170600,17031252101,132.25
1667226,17031170600,17031251600,130.97
1667231,17031170600,17031251400,115.89
1667232,17031170600,17031251500,123.24
1667234,17031170600,17031251200,114.54
1667238,17031170600,17031230600,123.29
1667240,17031170600,17031250800,111.25
1667242,17031170600,17031230500,122.15
1667244,17031170600,17031250200,104.35
1667246,17031170600,17031191100,101.01
1667248,17031170600,17031200401,116.39
1667249,17031170600,17031200300,115.72
1667250,17031170600,17031200200,110.17
